iter	Passed	Remaining
0	2	287
1	5	291
2	8	289
3	11	275
4	13	261
5	16	253
6	18	241
7	20	232
8	22	225
9	25	226
10	27	225
11	31	234
12	35	234
13	37	231
14	40	229
15	42	225
16	45	220
17	48	220
18	51	220
19	54	218
20	57	216
21	60	212
22	62	209
23	64	205
24	67	202
25	70	200
26	73	198
27	77	198
28	80	196
29	82	193
30	85	190
31	88	188
32	91	186
33	94	183
34	97	180
35	99	177
36	102	174
37	104	170
38	107	168
39	109	164
40	112	161
41	113	156
42	116	153
43	118	151
44	121	148
45	124	145
46	127	143
47	130	140
48	132	138
49	135	135
50	139	133
51	141	130
52	144	128
53	147	125
54	148	121
55	151	119
56	154	116
57	157	114
58	160	111
59	163	108
60	165	105
61	166	102
62	169	99
63	172	96
64	175	94
65	178	92
66	182	89
67	185	87
68	188	84
69	191	81
70	197	80
71	200	78
72	203	75
73	206	72
74	209	69
75	212	66
76	214	64
77	217	61
78	220	58
79	223	55
80	227	53
81	230	50
82	232	47
83	235	44
84	238	42
85	240	39
86	243	36
87	246	33
88	247	30
89	250	27
90	252	24
91	254	22
92	256	19
93	259	16
94	262	13
95	265	11
96	267	8
97	270	5
98	273	2
99	276	0
