iter	Passed	Remaining
0	107	107210
1	108	54377
2	111	37069
3	113	28314
4	115	22923
5	116	19368
6	118	16791
7	120	14908
8	121	13413
9	123	12273
10	125	11259
11	126	10431
12	128	9723
13	129	9116
14	130	8591
15	132	8127
16	133	7720
17	134	7354
18	136	7029
19	138	6777
20	140	6538
21	141	6310
22	143	6101
23	145	5898
24	146	5708
25	147	5533
26	148	5367
27	150	5229
28	152	5118
29	154	4995
30	156	4884
31	157	4768
32	159	4660
33	160	4560
34	161	4462
35	163	4369
36	164	4285
37	167	4229
38	168	4151
39	169	4079
40	171	4009
41	172	3945
42	174	3879
43	175	3818
44	177	3763
45	178	3708
46	180	3666
47	182	3618
48	184	3576
49	185	3524
50	187	3486
51	188	3442
52	190	3396
53	191	3349
54	192	3305
55	194	3274
56	195	3241
57	197	3214
58	199	3186
59	201	3150
60	202	3116
61	204	3087
62	205	3054
63	206	3021
64	208	2995
65	210	2975
66	211	2946
67	213	2919
68	214	2892
69	215	2863
70	216	2838
71	218	2812
72	219	2789
73	220	2763
74	222	2738
75	224	2724
76	225	2708
77	227	2688
78	228	2665
79	229	2644
80	231	2624
81	232	2603
82	233	2578
83	234	2560
84	236	2542
85	237	2525
86	239	2515
87	241	2499
88	242	2483
89	243	2466
90	245	2450
91	246	2433
92	247	2416
93	248	2399
94	250	2382
95	251	2367
96	252	2355
97	254	2345
98	256	2330
99	257	2317
100	258	2303
101	260	2290
102	261	2277
103	262	2263
104	263	2249
105	265	2236
106	266	2222
107	267	2211
108	269	2204
109	271	2193
110	272	2181
111	273	2170
112	274	2158
113	276	2145
114	277	2133
115	278	2121
116	279	2108
117	280	2096
118	281	2087
119	283	2081
120	285	2074
121	286	2062
122	288	2053
123	289	2044
124	290	2035
125	292	2026
126	293	2015
127	294	2006
128	295	1996
129	297	1992
130	299	1986
131	300	1978
132	302	1971
133	303	1963
134	305	1956
135	306	1947
136	307	1939
137	309	1931
138	310	1923
139	312	1916
140	314	1913
141	314	1902
142	316	1896
